,article_id,comments,published,title,type,url
3921,739820.0,0.0,2017-01-13,Auch zweites Training in Zauchensee abgesagt,newswire,http://www.tageswoche.ch/de/2017_2/sport/739820/auch-zweites-training-in-zauchensee-abgesagt.htm
3922,739821.0,0.0,2017-01-13,Hunderttausende in Frankreich wegen Wintersturms «Egon» ohne Strom,newswire,http://www.tageswoche.ch/de/2017_2/international/739821/hunderttausende-in-frankreich-wegen-wintersturms-egon-ohne-strom.htm
3923,739822.0,14.0,2017-01-14,Rosentalturm wird höchstens 110 Meter hoch,news,http://www.tageswoche.ch/de/2017_2/basel/739822/rosentalturm-wird-hoechstens-110-meter-hoch.htm
3924,739823.0,0.0,2017-01-13,Bebauungsplan für zweiten Basler Messeturm wird aufgelegt,newswire,http://www.tageswoche.ch/de/2017_2/basel/739823/bebauungsplan-fuer-zweiten-basler-messeturm-wird-aufgelegt.htm
3925,739824.0,0.0,2017-01-13,"Zlatan, der Grosse hat England erobert – und das in nur drei Monaten",newswire,http://www.tageswoche.ch/de/2017_2/sport/739824/zlatan-der-grosse-hat-england-erobert-und-das-in-nur-drei-monaten.htm
3926,739825.0,0.0,2017-01-13,Vögele gewinnt Schweizer Duell gegen Sadikovic,newswire,http://www.tageswoche.ch/de/2017_2/sport/739825/voegele-gewinnt-schweizer-duell-gegen-sadikovic.htm
3927,739826.0,0.0,2017-01-13,UNO fordert mehr Unterstützung für Flüchtlinge auf Balkanroute,newswire,http://www.tageswoche.ch/de/2017_2/international/739826/uno-fordert-mehr-unterstuetzung-fuer-fluechtlinge-auf-balkanroute.htm
3928,739827.0,0.0,2017-01-13,Nein zu Internet-Sperren für ausländische Online-Geldspiele,newswire,http://www.tageswoche.ch/de/2017_2/schweiz/739827/nein-zu-internet-sperren-fuer-auslaendische-online-geldspiele.htm
3929,739828.0,0.0,2017-01-15,Chelsea? Da sind noch mehr Nester für Sportler von Herzog & De Meuron,blog,http://www.tageswoche.ch/de/blogs/bildstoff/739828/chelsea-da-sind-noch-mehr-nester-fuer-sportler-von-herzog-de-meuron.htm
3930,739829.0,0.0,2017-01-13,Kanadas Regierungschef wegen Reise auf Staatskosten in der Kritik,newswire,http://www.tageswoche.ch/de/2017_2/international/739829/kanadas-regierungschef-wegen-reise-auf-staatskosten-in-der-kritik.htm
3931,739830.0,0.0,2017-01-13,Zürcher Finanzsektor auf dem zweiten Platz in Europa,newswire,http://www.tageswoche.ch/de/2017_2/schweiz/739830/zuercher-finanzsektor-auf-dem-zweiten-platz-in-europa.htm
3932,739831.0,5.0,2017-01-13,Erneut ein Leck – die BVB suchen einen Maulwurf,news,http://www.tageswoche.ch/de/2017_2/basel/739831/erneut-ein-leck-die-bvb-suchen-einen-maulwurf.htm
3933,739832.0,4.0,2017-01-13,"Platz da, hier kommt der Wild Maa",news,http://www.tageswoche.ch/de/2017_2/basel/739832/platz-da-hier-kommt-der-wild-maa.htm
3934,739833.0,0.0,2017-01-13,SKOS fordert bessere Integration von Flüchtlingen in Arbeitsmarkt,newswire,http://www.tageswoche.ch/de/2017_2/schweiz/739833/skos-fordert-bessere-integration-von-fluechtlingen-in-arbeitsmarkt.htm
3935,739834.0,0.0,2017-01-13,BVB schaltet wegen Informationsleck Basler Staatsanwaltschaft ein,newswire,http://www.tageswoche.ch/de/2017_2/basel/739834/bvb-schaltet-wegen-informationsleck-basler-staatsanwaltschaft-ein.htm
3936,739835.0,0.0,2017-01-13,Svindal verlässt Wengen vorzeitig,newswire,http://www.tageswoche.ch/de/2017_2/sport/739835/svindal-verlaesst-wengen-vorzeitig.htm
3937,739836.0,0.0,2017-01-13,Saibene im Sommer nicht mehr Trainer in Thun,newswire,http://www.tageswoche.ch/de/2017_2/sport/739836/saibene-im-sommer-nicht-mehr-trainer-in-thun.htm
3938,739837.0,0.0,2017-01-13,Jäger stellt ertrunkenen Fuchs im Eisblock als Warnung aus,newswire,http://www.tageswoche.ch/de/2017_2/international/739837/jaeger-stellt-ertrunkenen-fuchs-im-eisblock-als-warnung-aus.htm
3939,739838.0,0.0,2017-01-13,Keine Annäherung bei Reform der Altersvorsorge,newswire,http://www.tageswoche.ch/de/2017_2/schweiz/739838/keine-annaeherung-bei-reform-der-altersvorsorge.htm
3940,739842.0,22.0,2017-01-13,Dramatischer Zuschauerrückgang bei Telebasel,news,http://www.tageswoche.ch/de/2017_2/basel/739842/dramatischer-zuschauerrueckgang-bei-telebasel.htm
3941,739843.0,0.0,2017-01-13,Ständeratskommission lehnt Burkaverbot ab,newswire,http://www.tageswoche.ch/de/2017_2/schweiz/739843/staenderatskommission-lehnt-burkaverbot-ab.htm
3942,739844.0,0.0,2017-01-13,Sieben Leichtverletzte bei Massenkarambolage in Tunnel auf A2,newswire,http://www.tageswoche.ch/de/2017_2/schweiz/739844/sieben-leichtverletzte-bei-massenkarambolage-in-tunnel-auf-a2.htm
3943,739845.0,2.0,2017-01-14,General Sutters Leben mit Post-Porno und Flüchtlings-Tragödie aufgepeppt,news,http://www.tageswoche.ch/de/2017_2/kultur/739845/general-sutters-leben-mit-post-porno-und-fluechtlings-tragoedie-aufgepeppt.htm
3944,739846.0,0.0,2017-01-14,Der FCB verliert gegen St. Pauli 1:2,news,http://www.tageswoche.ch/de/2017_2/sport/739846/der-fcb-verliert-gegen-st-pauli-12.htm
3945,739848.0,1.0,2017-01-13,"Umsatz bei Globus sinkt 2016 um 5,4 Prozent",newswire,http://www.tageswoche.ch/de/2017_2/schweiz/739848/umsatz-bei-globus-sinkt-2016-um-54-prozent.htm
3946,739850.0,0.0,2017-01-13,Ferrari buhlt um Schumacher-Sohn Mick,newswire,http://www.tageswoche.ch/de/2017_2/sport/739850/ferrari-buhlt-um-schumacher-sohn-mick.htm
3947,739852.0,0.0,2017-01-13,Weger knapp an den Top Ten vorbei,newswire,http://www.tageswoche.ch/de/2017_2/sport/739852/weger-knapp-an-den-top-ten-vorbei.htm
