,article_id,published,type,Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert,section
3075,662666.0,2014-07-01,news,basel/662666,11.0,10.0,00:01:21,5.0,"80,00 %","72,73 %","0,00 CHF",basel
3076,664252.0,2014-07-22,news,basel/664252,11.0,9.0,00:04:06,8.0,"75,00 %","81,82 %","0,00 CHF",basel
3077,664850.0,2014-07-30,news,international/664850,11.0,9.0,00:00:14,9.0,"77,78 %","81,82 %","0,00 CHF",international
3078,666465.0,2014-08-22,news,basel/666465,11.0,11.0,00:00:00,10.0,"100,00 %","100,00 %","0,00 CHF",basel
3079,666087.0,2014-08-21,news,leben/666087,11.0,9.0,00:02:35,9.0,"77,78 %","81,82 %","0,00 CHF",leben
3080,666468.0,2014-08-23,news,sport/666468,11.0,11.0,00:02:33,11.0,"81,82 %","81,82 %","0,00 CHF",sport
3081,667316.0,2014-09-04,news,basel/667316,11.0,9.0,00:00:13,9.0,"66,67 %","72,73 %","0,00 CHF",basel
3082,667479.0,2014-09-07,news,basel/667479,11.0,10.0,00:00:10,10.0,"90,00 %","90,91 %","0,00 CHF",basel
3083,667740.0,2014-09-11,news,leben/667740,11.0,10.0,00:05:29,9.0,"88,89 %","90,91 %","0,00 CHF",leben
3084,670487.0,2014-10-16,news,kultur/670487,11.0,9.0,00:00:38,9.0,"77,78 %","81,82 %","0,00 CHF",kultur
3085,671247.0,2014-10-22,news,basel/671247,11.0,10.0,00:01:27,9.0,"88,89 %","90,91 %","0,00 CHF",basel
3086,671825.0,2014-10-30,news,basel/671825,11.0,7.0,00:00:50,7.0,"57,14 %","63,64 %","0,00 CHF",basel
3087,673942.0,2014-11-23,news,basel/673942,11.0,11.0,00:00:00,11.0,"100,00 %","100,00 %","0,00 CHF",basel
3088,676243.0,2014-12-18,news,basel/676243,11.0,11.0,00:04:09,8.0,"87,50 %","90,91 %","0,00 CHF",basel
3089,674070.0,2014-12-28,news,kultur/674070,11.0,6.0,00:01:34,6.0,"50,00 %","54,55 %","0,00 CHF",kultur
3090,678029.0,2015-01-15,news,basel/678029,11.0,11.0,00:02:52,11.0,"90,91 %","90,91 %","0,00 CHF",basel
3091,680300.0,2015-02-10,news,basel/680300,11.0,11.0,00:06:59,8.0,"87,50 %","81,82 %","0,00 CHF",basel
3092,682414.0,2015-03-09,news,international/682414,11.0,11.0,00:00:00,10.0,"100,00 %","100,00 %","0,00 CHF",international
