,topic_id,count,pageviews,average,median,min,max,level0,level1,level2,level3,title
204,596,22,26084,1185.6363636363637,405.0,60,10927,Gesellschaft,Kinder & Jugend,,,Kinder & Jugend
205,280,6,7113,1185.5,963.5,80,3689,Gesellschaft,Homosexualität,,,Homosexualität
206,930,28,33016,1179.142857142857,688.0,223,8822,Kultur,Nachtgang,,,Nachtgang
207,645,7,8229,1175.5714285714287,1181.0,615,2022,Gewerbe,,,,Gewerbe
208,18,248,290811,1172.625,488.5,24,19312,Politik,,,,Politik
209,827,8,9360,1170.0,1075.5,270,3117,Kantonsverwaltung,,,,Kantonsverwaltung
210,135,47,54930,1168.723404255319,668.0,61,5573,Kultur,Theater,,,Theater
211,1036,18,20843,1157.9444444444443,652.5,184,6817,Sport,Fussball,WM 2018,,WM 2018
212,932,23,26450,1150.0,543.0,65,5559,Politik,Finanzpolitik,,,Finanzpolitik
213,33,111,126260,1137.4774774774776,448.0,22,11251,Digital,,,,Digital
214,931,22,24986,1135.7272727272727,806.0,68,6445,Verkehr,Velo,,,Velo
215,494,28,31783,1135.107142857143,683.5,180,5209,Lokales,Kaserne Basel,,,Kaserne Basel
216,197,80,90596,1132.45,286.5,25,19312,_Länder,Europa,Türkei,,Türkei
217,41,38,42881,1128.4473684210527,812.5,107,4142,Veranstaltung,Musik Veranstaltung,,,Musik Veranstaltung
218,863,13,14647,1126.6923076923076,587.0,348,4873,Kultur,Performances,,,Performances
219,643,7,7869,1124.142857142857,942.0,720,1891,Kultur,Galerien,,,Galerien
220,174,44,49418,1123.1363636363637,317.5,27,25447,_Länder,Europa,Deutschland,,Deutschland
221,963,5,5550,1110.0,391.0,204,4189,Sport,Tippspiel,,,Tippspiel
222,129,220,242740,1103.3636363636363,692.5,40,9825,Kultur,,,,Kultur
223,239,12,13142,1095.1666666666667,774.5,24,5141,Wirtschaft,Globalisierung,,,Globalisierung
224,215,62,67659,1091.274193548387,807.0,119,5719,Kultur,Ausstellung,,,Ausstellung
225,282,15,16354,1090.2666666666667,750.0,68,5227,Gesellschaft,Menschenrechte,,,Menschenrechte
226,819,41,44563,1086.9024390243903,687.0,100,6055,Theater Basel,,,,Theater Basel
227,832,7,7582,1083.142857142857,1211.0,152,1676,Wissen,,,,Wissen
228,755,24,25970,1082.0833333333333,253.0,43,4812,Wirtschaft,Technologie,,,Technologie
229,178,20,21581,1079.05,852.0,30,4770,Politik,_Parteien,,,_Parteien
230,202,104,111124,1068.5,492.0,35,7306,Baselland,,,,Baselland
231,496,8,8527,1065.875,535.0,145,3946,Verkehr,Schifffahrt,,,Schifffahrt
232,468,5,5278,1055.6,370.0,212,3346,Politik,_Themen,Sozialwerke,AHV,AHV
233,141,212,222145,1047.8537735849056,396.0,22,11818,Wirtschaft,,,,Wirtschaft
234,139,7,7315,1045.0,534.0,41,3717,_Länder,Südamerika,,,Südamerika
235,991,6,6262,1043.6666666666667,790.0,273,2098,Kultur,Literatur & Lyrik,BuchBasel,,BuchBasel
236,811,45,46926,1042.8,776.0,112,3653,_Textformen & feste Rubriken,Georg Kreis,,,Georg Kreis
237,1023,27,28129,1041.8148148148148,504.0,53,6429,Politik,Europäische Union,Brexit,,Brexit
238,5,6,6247,1041.1666666666667,254.0,75,5141,_Länder,,,,_Länder
239,403,28,29072,1038.2857142857142,874.5,105,2963,Sport,Fussball,FC Zürich,,FC Zürich
240,235,30,31095,1036.5,285.0,53,7135,Verkehr,Öffentlicher Verkehr,SBB,,SBB
241,134,56,57671,1029.8392857142858,557.5,61,10537,Kultur,Literatur & Lyrik,,,Literatur & Lyrik
242,369,9,9263,1029.2222222222222,792.0,504,2238,_Personen,Christoph Brutschin,,,Christoph Brutschin
243,997,7,7200,1028.5714285714287,957.0,42,3255,_Zeitgeschichte,Wunschkonzert,,,Wunschkonzert
244,449,22,22611,1027.7727272727273,123.0,37,11979,Umwelt & Natur,Klimawandel,,,Klimawandel
245,527,26,26722,1027.7692307692307,651.5,224,6957,Kultur,Kulturpolitik,,,Kulturpolitik
246,904,11,11298,1027.090909090909,401.0,37,3654,Region,,,,Region
247,554,14,14345,1024.642857142857,535.0,49,3899,Wirtschaft,Detailhandel,,,Detailhandel
248,245,18,18438,1024.3333333333333,515.0,45,4712,_Länder,Europa,Serbien,,Serbien
249,27,5,5089,1017.8,385.0,76,3868,Sport,Basketball,,,Basketball
250,176,77,78204,1015.6363636363636,164.0,23,30947,_Länder,Nordamerika,USA,,USA
251,433,21,21291,1013.8571428571429,258.0,68,4770,Politik,_Themen,Armee,,Armee
252,39,18,18190,1010.5555555555555,781.5,278,3524,Veranstaltung,Ausstellung Veranstaltung,,,Ausstellung Veranstaltung
253,101,38,38255,1006.7105263157895,372.5,55,11818,Region der Schweiz,Kanton Basel-Landschaft,,,Kanton Basel-Landschaft
254,507,30,30072,1002.4,731.0,60,4131,Gesellschaft,Familie,,,Familie
255,278,32,31762,992.5625,791.5,22,3397,Wirtschaft,Pharmaindustrie,,,Pharmaindustrie
256,249,31,30528,984.7741935483871,296.0,49,8632,Wirtschaft,Finanzwirtschaft,,,Finanzwirtschaft
257,52,13,12711,977.7692307692307,681.0,318,3654,Kino,Dokumentation Film,,,Dokumentation Film
258,296,40,38873,971.825,303.5,31,14358,_Länder,Europa,Grossbritannien,,Grossbritannien
259,957,9,8667,963.0,587.0,80,2524,Wirtschaft,Einkaufstourismus,,,Einkaufstourismus
260,241,94,90472,962.468085106383,657.0,53,8107,Kultur,Museen,,,Museen
261,205,30,28815,960.5,359.5,37,7158,_Länder,Europa,Griechenland,,Griechenland
262,647,9,8556,950.6666666666666,887.0,136,2016,Strassen,,,,Strassen
263,53,13,12340,949.2307692307693,487.0,321,4712,Kino,Drama Film,,,Drama Film
264,903,20,18944,947.2,722.5,190,2756,Kultur,Kunst,Künstlerporträts,,Künstlerporträts
265,177,146,136659,936.0205479452055,388.5,50,11818,Verkehr,,,,Verkehr
266,311,99,92436,933.6969696969697,502.0,51,6817,Sport,Fussball,Nationalmannschaft,,Nationalmannschaft
267,1010,11,10203,927.5454545454545,240.0,23,7997,_Zeitgeschichte,Panama Papers,,,Panama Papers
268,738,132,122411,927.3560606060606,490.5,22,5268,Sport,Fussball,Euro 2016,,Euro 2016
269,846,11,10168,924.3636363636364,771.0,37,3386,Kirche,,,,Kirche
270,213,78,71976,922.7692307692307,494.5,50,7135,Verkehr,Öffentlicher Verkehr,,,Öffentlicher Verkehr
271,59,8,7340,917.5,582.5,369,2165,Kino,Komödie Film,,,Komödie Film
272,917,23,21092,917.0434782608696,380.0,74,5627,Politik,Abstimmungen & Wahlen,Abstimmungen vom 9. Februar 2014,Masseneinwanderungsinitiative,Masseneinwanderungsinitiative
273,327,17,15579,916.4117647058823,187.0,36,5484,Politik,_Organe,Regierungsrat BL,,Regierungsrat BL
274,471,7,6380,911.4285714285714,370.0,99,3346,Politik,_Themen,Sozialwerke,Pensionskasse,Pensionskasse
275,145,66,60107,910.7121212121212,490.0,59,6402,Kultur,Film,,,Film
