,article_id,published,type,Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert,section
172,728387.0,2016-08-29,news,basel/728387,849.0,791.0,00:02:13,390.0,"84,62 %","57,13 %","0,00 CHF",basel
173,727186.0,2016-08-15,news,schweiz/727186,847.0,772.0,00:03:26,207.0,"66,18 %","42,62 %","0,00 CHF",schweiz
174,726063.0,2016-08-03,news,basel/726063,832.0,769.0,00:02:44,342.0,"82,75 %","53,37 %","0,00 CHF",basel
175,727845.0,2016-08-23,news,basel/727845,821.0,735.0,00:03:55,500.0,"74,00 %","59,81 %","0,00 CHF",basel
176,726615.0,2016-08-09,news,basel/726615,820.0,741.0,00:02:56,164.0,"76,22 %","45,98 %","0,00 CHF",basel
177,727293.0,2016-08-16,news,kultur/727293,809.0,694.0,00:02:58,421.0,"82,66 %","61,06 %","0,00 CHF",kultur
178,726679.0,2016-08-10,newswire,sport/726679,801.0,752.0,00:03:18,38.0,"65,79 %","50,06 %","0,00 CHF",sport
179,727167.0,2016-08-16,news,basel/727167,779.0,724.0,00:03:37,138.0,"74,64 %","44,93 %","0,00 CHF",basel
180,728542.0,2016-08-31,news,sport/728542,776.0,725.0,00:03:17,194.0,"83,51 %","58,63 %","0,00 CHF",sport
181,728323.0,2016-08-28,news,sport/728323,764.0,715.0,00:01:52,40.0,"60,00 %","37,30 %","0,00 CHF",sport
182,728223.0,2016-08-26,news,basel/728223,759.0,711.0,00:02:36,353.0,"85,27 %","63,77 %","0,00 CHF",basel
183,726136.0,2016-08-03,newswire,schweiz/726136,752.0,723.0,00:03:08,439.0,"88,61 %","72,61 %","0,00 CHF",schweiz
184,727271.0,2016-08-18,news,schweiz/727271,732.0,681.0,00:04:22,201.0,"79,10 %","53,69 %","0,00 CHF",schweiz
185,725897.0,2016-07-31,news,sport/725897,728.0,664.0,00:04:00,132.0,"74,24 %","46,57 %","0,00 CHF",sport
186,725719.0,2016-08-01,news,basel/725719,715.0,674.0,00:02:41,192.0,"85,42 %","59,02 %","0,00 CHF",basel
187,726112.0,2016-08-04,news,schweiz/726112,714.0,629.0,00:04:31,188.0,"76,06 %","48,60 %","0,00 CHF",schweiz
188,715465.0,2016-08-23,news,kultur/715465,711.0,670.0,00:02:55,346.0,"89,88 %","65,54 %","0,00 CHF",kultur
189,726652.0,2016-08-10,news,sport/726652,696.0,655.0,00:02:15,33.0,"69,70 %","39,08 %","0,00 CHF",sport
190,727524.0,2016-08-18,news,basel/727524,692.0,638.0,00:02:11,351.0,"87,18 %","62,43 %","0,00 CHF",basel
191,727219.0,2016-08-15,newswire,sport/727219,684.0,641.0,00:01:48,395.0,"87,09 %","69,15 %","0,00 CHF",sport
192,728536.0,2016-08-30,news,kultur/728536,682.0,632.0,00:02:03,441.0,"88,21 %","71,70 %","0,00 CHF",kultur
193,665467.0,2014-08-09,news,schweiz/665467,676.0,647.0,00:03:06,645.0,"94,11 %","93,93 %","0,00 CHF",schweiz
194,727258.0,2016-08-16,news,sport/727258,673.0,631.0,00:03:29,298.0,"82,89 %","61,07 %","0,00 CHF",sport
195,728090.0,2016-08-25,news,kultur/728090,668.0,618.0,00:05:05,423.0,"90,31 %","75,75 %","0,00 CHF",kultur
196,726531.0,2016-08-08,news,sport/726531,659.0,616.0,00:04:11,170.0,"82,94 %","52,81 %","0,00 CHF",sport
197,726758.0,2016-08-10,newswire,sport/726758,658.0,612.0,00:02:03,408.0,"86,76 %","69,30 %","0,00 CHF",sport
198,727416.0,2016-08-22,news,basel/727416,658.0,620.0,00:02:00,89.0,"87,64 %","41,34 %","0,00 CHF",basel
199,727174.0,2016-08-16,news,kultur/727174,652.0,593.0,00:02:44,297.0,"80,81 %","59,36 %","0,00 CHF",kultur
200,469385.0,2012-10-10,news,leben/469385,648.0,612.0,00:06:22,611.0,"94,93 %","94,29 %","0,00 CHF",leben
201,726105.0,2016-08-03,news,basel/726105,648.0,618.0,00:02:42,240.0,"69,58 %","49,69 %","0,00 CHF",basel
