,topic_id,count,pageviews,average,level0,level1,level2,level3,title
329,242,18,4576,254.22222222222223,_Länder,Europa,Kosovo,,Kosovo
330,137,18,8767,487.05555555555554,_Länder,Asien,,,Asien
331,1036,18,20843,1157.9444444444443,Sport,Fussball,WM 2018,,WM 2018
332,437,18,2953,164.05555555555554,Umwelt & Natur,Altlasten,,,Altlasten
333,898,18,22745,1263.611111111111,Lokales,Stadtentwicklung,Roche-Turm,,Roche-Turm
334,322,18,33069,1837.1666666666667,_Länder,Asien,Irak,,Irak
335,369,18,10179,565.5,_Personen,Christoph Brutschin,,,Christoph Brutschin
336,214,18,12438,691.0,Verkehr,Öffentlicher Verkehr,TNW,,TNW
337,549,17,12370,727.6470588235294,Wirtschaft,Modebranche,,,Modebranche
338,206,17,2894,170.23529411764707,Sport,Volleyball,,,Volleyball
339,827,17,10277,604.5294117647059,Kantonsverwaltung,,,,Kantonsverwaltung
340,893,17,1975,116.17647058823529,Politik,Internationale Organisationen,OSZE,OSZE-Kongress in Basel,OSZE-Kongress in Basel
